% time  amplitude  freq   approx.island width[cm] (CATS)
62.959  0.000314329  9.27734  5.11506
62.9672  0.000331077  9.58252  5.249506
62.9754  3.75974e-05  9.27734  1.769004
62.9836  0.00022717  8.91113  4.348323
62.9918  0.00030001  8.97217  4.997023
63  0.000260551  9.0332  4.656799
63.0082  0.000284821  9.0332  4.86884
63.0164  0.000283373  9.0332  4.856438
63.0246  0.000253711  9.09424  4.595238
63.0328  0.000274246  9.09424  4.777592
63.041  0.00027052  9.0332  4.74504
63.0492  0.000284324  8.97217  4.864621
63.0574  0.000319524  9.0332  5.156997
63.0656  0.000271253  9.52148  4.75156
63.0738  0.000297505  9.58252  4.976234
63.082  0.000291434  9.64355  4.925262
63.0902  0.000273222  9.70459  4.768959
63.0984  0.000265758  9.76562  4.703449
63.1066  0.000267878  9.76562  4.722265
63.1148  0.000285909  9.76562  4.878714
63.123  0.000281469  9.76562  4.840802
63.1311  0.00028305  9.82666  4.854508
63.1393  0.000330403  9.8877  5.245036
63.1475  0.000359415  10.0708  5.470646
63.1557  0.000312433  10.0708  5.100751
63.1639  0.000292352  10.0708  4.934292
63.1721  0.000306966  10.0098  5.056314
63.1803  0.000316257  10.0098  5.132474
63.1885  0.000300997  10.0098  5.007331
63.1967  0.000334354  9.94873  5.277734
63.2049  0.000375137  9.8877  5.590604
63.2131  0.000324597  9.82666  5.200629
63.2213  0.000367562  9.82666  5.53438
63.2295  0.000350689  9.76562  5.40611
63.2377  0.000376939  9.70459  5.605049
63.2459  0.000337028  9.70459  5.300256
63.2541  0.000342478  9.70459  5.343182
63.2623  0.00037804  9.70459  5.613993
63.2705  0.000351874  9.64355  5.416459
63.2787  0.000357212  9.58252  5.457619
63.2869  0.000357436  9.58252  5.459551
63.2951  0.000370139  9.58252  5.555933
63.3033  0.000359263  9.58252  5.473898
63.3115  0.000373082  9.52148  5.578371
63.3197  0.000368689  9.52148  5.545606
63.3279  0.00038219  9.52148  5.646391
63.3361  0.000368047  9.58252  5.541073
63.3443  0.000370902  9.52148  5.562645
63.3525  0.000379707  9.52148  5.628386
63.3607  0.000367915  9.52148  5.540378
63.3689  0.000387399  9.52148  5.685245
63.377  0.000374101  9.46045  5.586846
63.3852  0.000389587  9.52148  5.701311
63.3934  0.000380617  9.58252  5.635269
63.4016  0.000380644  9.52148  5.635414
63.4098  0.000379507  9.58252  5.626909
63.418  0.000389068  9.52148  5.697238
63.4262  0.000459717  9.46045  6.192794
63.4344  0.000379656  9.33838  5.627616
63.4426  0.000396929  9.33838  5.75403
63.4508  0.000375419  9.27734  5.595755
63.459  0.000391837  9.27734  5.716586
63.4672  0.00037968  9.27734  5.626976
63.4754  0.000419402  9.27734  5.913745
63.4836  0.000399004  9.27734  5.767878
63.4918  0.000380374  9.27734  5.631345
63.5  0.000381834  9.27734  5.641863
63.5082  0.000385789  9.33838  5.670718
